author_id,name,fields_of_study,publication_count,h_index,citation_count,avg_self_similarity,std_self_similarity
A5100337809,Qun Wang,Physics and Astronomy,384,39,6064,,
A5015087614,Ronald Hesper,Physics and Astronomy; Engineering,164,39,19015,,
A5111493602,R. Janicek,Physics and Astronomy,161,38,4891,,
A5075088924,N. Warrack,Physics and Astronomy,316,38,5350,,
A5041415005,Martin Rochette,Physics and Astronomy; Engineering,321,38,4880,,
A5056090906,R. J. Ward,Physics and Astronomy,350,38,5411,,
A5062150520,Richard Léveillé,Physics and Astronomy; Engineering; Earth and Planetary Sciences,163,37,8910,,
A5107880517,A. J. Chuinard,Physics and Astronomy,51,37,3930,,
A5025476976,Z. Li,Physics and Astronomy,108,37,3403,,
A5009869605,J. P. Mc Gowan,Physics and Astronomy,268,37,4847,,
A5062386564,Emily Petroff,Physics and Astronomy,128,37,4908,,
A5120644335,M. E. Nelson,Physics and Astronomy,162,36,4028,,
A5077723832,Songrui Zhao,Physics and Astronomy; Materials Science; Engineering,166,36,4887,,
A5110211028,Frederick A. A. Kingdom,Neuroscience; Physics and Astronomy; Psychology,201,36,5542,,
A5107863176,T. Kwan,Physics and Astronomy,86,36,4197,,
A5063048070,Simon Caron-Huot,Physics and Astronomy,105,36,3903,,
A5052061134,Bassam Abdulkarim,Medicine; Physics and Astronomy,221,36,4817,,
A5050412720,J. Kildea,Physics and Astronomy; Medicine,254,36,4354,,
A5105826708,T. Vafeiadis,Physics and Astronomy,331,36,4841,,
A5076299607,A. M. Mathai,Physics and Astronomy; Mathematics,400,35,9473,,
A5108722728,Ervin B. Podgoršak,Physics and Astronomy; Medicine; Agricultural and Biological Sciences,164,35,4766,,
A5111581551,Richard D. Hoge,Medicine; Neuroscience; Physics and Astronomy,90,35,5786,,
A5013539978,Inna Sharf,Engineering; Computer Science; Physics and Astronomy,202,35,4430,,
A5100382153,Xiaolu Li,Earth and Planetary Sciences; Physics and Astronomy; Environmental Science,1109,35,5096,,
A5107537890,C. P. Ward,Physics and Astronomy,67,35,3039,,
A5100772833,Xiaoliang Chen,Computer Science; Physics and Astronomy,298,35,4328,,
A5053047257,Z. Li,Physics and Astronomy,370,35,4731,,
A5040563432,Anita Koushik,Environmental Science; Medicine; Physics and Astronomy,175,34,3081,,
A5010423459,A. Ambler,Physics and Astronomy,76,34,4057,,
A5071286606,Alexander Maloney,Physics and Astronomy,78,34,4042,,
A5083588969,Shimin Hou,Engineering; Physics and Astronomy; Materials Science,198,34,3516,,
A5110209071,S. E. Mclachlin,Physics and Astronomy,112,34,3769,,
A5106133316,T. Kwan,Physics and Astronomy,59,34,3642,,
A5022196520,Bo Hu,Physics and Astronomy; Engineering; Materials Science,129,34,5935,,
A5054196636,Curtis L. Baker,"Neuroscience; Physics and Astronomy; Biochemistry, Genetics and Molecular Biology",130,34,3844,,
A5043944785,Byung Chan Eu,Physics and Astronomy; Engineering; Mathematics,310,34,4832,,
A5109115036,I. Vollrath,Physics and Astronomy,72,33,3360,,
A5059509454,Christopher C. Paige,Computer Science; Mathematics; Physics and Astronomy,83,33,11508,,
A5101686848,Pengfei Guan,Mathematics; Physics and Astronomy,97,33,3529,,
A5091032158,E. Macdonald,Physics and Astronomy; Earth and Planetary Sciences,57,33,5394,,
A5041513167,Derek Ruths,Social Sciences; Physics and Astronomy; Computer Science,125,33,5329,,
A5083923282,Thomas Szkopek,Materials Science; Physics and Astronomy; Engineering,165,32,4087,,
A5107824065,S. Lai,Physics and Astronomy,55,32,2901,,
A5110036129,I. Shih,Engineering; Materials Science; Physics and Astronomy,232,32,4118,,
A5080214850,Xubo Liu,Materials Science; Computer Science; Physics and Astronomy,266,32,3458,,
A5090500739,Yashar Hezaveh,Physics and Astronomy,128,32,3847,,
A5059648574,Keshav Dasgupta,Physics and Astronomy,91,31,4010,,
A5086093262,Arnab Ghosh,Physics and Astronomy; Engineering,266,31,3098,,
A5107861649,A.T. Watson,Physics and Astronomy,43,30,3285,,
A5028693927,Matthew Fillingim,"Physics and Astronomy; Biochemistry, Genetics and Molecular Biology",194,30,3379,,
A5068940372,Christopher Barrington‐Leigh,Psychology; Social Sciences; Physics and Astronomy,99,30,6150,,
A5013305634,Allen J. Ehrlicher,"Biochemistry, Genetics and Molecular Biology; Physics and Astronomy; Engineering",108,30,4816,,
A5107893845,W. S. Ahmed,Physics and Astronomy,57,30,3386,,
A5112389982,A. Ambler,Physics and Astronomy,59,30,2615,,
A5022519572,T. P. Das,Physics and Astronomy; Engineering; Chemistry,257,30,3710,,
A5048046068,S. P. Mc Kee,Physics and Astronomy; Computer Science,335,30,5088,,
A5081805052,Andrew G. Kirk,Engineering; Physics and Astronomy; Materials Science,348,30,3597,,
A5113612112,S. K. Mark,Physics and Astronomy,146,29,8085,,
A5051238110,J. Arkani‐Hamed,"Physics and Astronomy; Biochemistry, Genetics and Molecular Biology; Earth and Planetary Sciences",199,29,2815,,
A5105366354,M. Klemetti,Physics and Astronomy,47,29,3559,,
A5028690666,Tamim Niazi,Medicine; Physics and Astronomy,216,29,2678,,
A5107884975,S. H. Robertson,Physics and Astronomy,37,28,3183,,
A5072828581,Man Jiang,Physics and Astronomy; Engineering,239,28,3111,,
A5112547885,K. Ragan,Physics and Astronomy,116,28,2811,,
A5091364610,A. Mircéa,Physics and Astronomy; Engineering,134,28,3459,,
A5112195091,Alexander W. Chao,Engineering; Physics and Astronomy,173,27,4472,,
A5019018113,Falko Dulat,Physics and Astronomy,49,27,3322,,
A5047124417,J. Montgomery,Physics and Astronomy,101,27,2469,,
A5113858763,A. Robichaud-Veronneau,Physics and Astronomy,36,27,2312,,
A5030049184,Ion Stiharu,Engineering; Physics and Astronomy,258,27,2623,,
A5030727782,George Shenouda,Medicine; Physics and Astronomy,142,27,3009,,
A5012629669,David Ronis,Physics and Astronomy; Materials Science; Chemistry,78,26,1775,,
A5051085399,Jafar Arkani‐Hamed,"Physics and Astronomy; Biochemistry, Genetics and Molecular Biology; Earth and Planetary Sciences",48,26,1555,,
A5107912746,T. Tawara,Physics and Astronomy,50,26,2120,,
A5060481376,F. Buchinger,Physics and Astronomy; Chemistry,104,26,1862,,
A5038778166,W. A. Coish,Physics and Astronomy; Computer Science; Engineering,109,26,3595,,
A5113535754,M-A. Dufour,Physics and Astronomy,38,26,6805,,
A5101695224,Anna Wang,"Biochemistry, Genetics and Molecular Biology; Physics and Astronomy; Materials Science",121,26,1851,,
A5110009961,J.P. Webb,Engineering; Physics and Astronomy,130,26,2773,,
A5108462767,Jelena Ristić,Physics and Astronomy; Engineering; Materials Science,138,26,2152,,
A5105706928,A. Ambler,Physics and Astronomy,43,25,1808,,
A5023265387,Marie Duclos,Medicine; Physics and Astronomy,169,25,2192,,
A5064620376,Masoud Rafiei-Ravandi,Physics and Astronomy; Engineering; Earth and Planetary Sciences,79,25,3150,,
A5111802508,R. F. Hess,Neuroscience; Medicine; Physics and Astronomy,87,25,3800,,
A5065134162,Seth R. Siegel,Physics and Astronomy,89,25,3830,,
A5071600972,M. Vélez,Physics and Astronomy; Materials Science; Engineering,208,25,2494,,
A5009978530,R. Grondin,Physics and Astronomy; Engineering; Computer Science,99,25,2698,,
A5107861141,P. M. Patel,Physics and Astronomy,52,25,1775,,
A5102724424,D. L. Anderson,Earth and Planetary Sciences; Physics and Astronomy,105,25,3212,,
A5079043263,Xiaohong Liu,Immunology and Microbiology; Agricultural and Biological Sciences; Physics and Astronomy,113,25,1977,,
A5101976554,Andreas Schober,Engineering; Physics and Astronomy; Chemical Engineering,115,25,2406,,
A5111977840,Alex H. Barnett,Physics and Astronomy; Engineering,132,25,2995,,
A5009020811,Khalil Sultanem,Medicine; Physics and Astronomy,136,25,4276,,
A5005452306,Siva Nadarajah,Engineering; Physics and Astronomy,151,24,2245,,
A5031196290,Eve J. Lee,Physics and Astronomy; Earth and Planetary Sciences,90,24,2778,,
A5004093347,Minghan Xu,Engineering; Physics and Astronomy; Materials Science,121,24,3435,,
A5038729365,Shirley Lehnert,"Medicine; Biochemistry, Genetics and Molecular Biology; Physics and Astronomy",122,24,1748,,
A5039472611,G. Smecher,Physics and Astronomy,67,24,2340,,
A5077029100,Ryan Mckinven,Physics and Astronomy; Engineering,69,24,2819,,
A5058774463,B. C. Sanctuary,Chemistry; Physics and Astronomy; Materials Science,139,24,2155,,
A5040146766,Michael Hilke,Physics and Astronomy; Materials Science; Computer Science,151,23,2525,,
A5100874799,S. Liang,Physics and Astronomy,153,23,4864,,
A5012015924,C. Malbrunot,Physics and Astronomy; Engineering,193,23,2059,,
A5107853970,S. Sabik,Physics and Astronomy,30,23,2075,,
A5020281698,Jack C. Sankey,Physics and Astronomy; Engineering,102,23,6560,,
A5112982684,E. F. McDonald,Physics and Astronomy,35,23,1667,,
A5080369827,Alain Jacques,Materials Science; Engineering; Physics and Astronomy,218,23,1401,,
A5009449488,Jack Wright,Physics and Astronomy; Earth and Planetary Sciences; Computer Science,224,23,2522,,
A5091337701,Fabio Cury,Medicine; Physics and Astronomy,238,23,1870,,
A5062497152,Shichen Li,Physics and Astronomy; Engineering,239,23,1831,,
A5110810326,A. Gilbert,Physics and Astronomy,63,23,1679,,
A5083108362,G. Gervais,Physics and Astronomy,121,23,2073,,
A5107881408,R. A. Keyes,Physics and Astronomy,25,23,1343,,
A5100370616,Jianping Li,Physics and Astronomy; Materials Science; Earth and Planetary Sciences,134,23,2637,,
A5111808304,D. Lunney,Physics and Astronomy; Chemistry,73,22,1414,,
A5107880485,T. Kwan,Physics and Astronomy,29,22,1462,,
A5085516741,Abha Sood,Environmental Science; Physics and Astronomy; Earth and Planetary Sciences,89,22,1083,,
A5074188145,W. B. Muir,Engineering; Physics and Astronomy; Materials Science,90,22,1840,,
A5042116215,Mahmoud Osman,Materials Science; Physics and Astronomy; Environmental Science,99,22,1583,,
A5008108309,Edward Wilson-Ewing,Physics and Astronomy,60,22,1943,,
A5033957573,Bridget C. Andersen,Physics and Astronomy; Engineering; Earth and Planetary Sciences,62,22,3748,,
A5000172284,Jean-François Cliche,Physics and Astronomy; Engineering,62,22,2867,,
A5059184283,Jacques Hurtubise,Mathematics; Physics and Astronomy,127,22,1433,,
A5113882096,T. Kwan,Physics and Astronomy,26,22,1809,,
A5107893503,S. H. Robertson,Physics and Astronomy,26,22,1568,,
A5009099198,Kaibo Zhang,Engineering; Medicine; Physics and Astronomy,146,21,1422,,
A5049481107,Tarek Hijal,"Biochemistry, Genetics and Molecular Biology; Physics and Astronomy; Medicine",149,21,1925,,
A5062571971,Jiayi Zhu,Neuroscience; Physics and Astronomy; Engineering,73,21,1923,,
A5023270374,Neil Kopek,Medicine; Physics and Astronomy,93,21,5968,,
A5044240193,Kirk H. Bevan,Engineering; Physics and Astronomy; Chemistry,104,21,1985,,
A5013154604,Changhong Cao,Materials Science; Physics and Astronomy; Engineering,54,21,3138,,
A5088354784,T. Pereg-Barnea,Physics and Astronomy; Materials Science,111,21,2039,,
A5013970605,N. G. Kyriacou,Physics and Astronomy,208,21,1868,,
A5025165738,Belal Moftah,Physics and Astronomy; Medicine,113,21,1125,,
A5022047214,Pierre Hudon,Engineering; Earth and Planetary Sciences; Physics and Astronomy,65,21,1561,,
A5113667453,F Blondeau,"Biochemistry, Genetics and Molecular Biology; Physics and Astronomy",68,21,2500,,
A5053933966,Xiangyu Wu,"Physics and Astronomy; Biochemistry, Genetics and Molecular Biology; Materials Science",123,21,1573,,
A5110077832,Dylan Hunt,Physics and Astronomy; Engineering; Medicine,69,21,1744,,
A5051623942,C.H. Champness,Engineering; Materials Science; Physics and Astronomy,153,20,1363,,
A5076725763,So‐Huei Kang,Engineering; Materials Science; Physics and Astronomy,43,20,1954,,
A5040134454,Thomas R. Preston,Earth and Planetary Sciences; Physics and Astronomy; Engineering,161,20,1531,,
A5111698114,T. L. Prakash,Physics and Astronomy; Materials Science; Engineering,73,20,1383,,
A5042145649,Cong Jiang,Computer Science; Physics and Astronomy; Engineering,73,20,1864,,
A5049706043,Saurabh Singh,Physics and Astronomy; Engineering,81,20,2753,,
A5105695888,A. Robichaud-Veronneau,Physics and Astronomy,21,20,1238,,
A5026385855,Nada Tomic,Physics and Astronomy; Medicine; Engineering,100,20,1435,,
A5101512425,C. Chambers,Physics and Astronomy,57,20,1665,,
A5010085593,Z. Li,Physics and Astronomy,211,20,1832,,
A5065972153,P. J. Boyle,Physics and Astronomy; Engineering,36,20,3019,,
A5108117003,Hon‐Yi Lin,"Medicine; Biochemistry, Genetics and Molecular Biology; Physics and Astronomy",114,20,1255,,
A5048752373,Denis Morris,Physics and Astronomy; Engineering; Materials Science,122,20,1948,,
A5108464787,E. B. Podgoršak,Physics and Astronomy; Medicine,126,20,1416,,
A5107904935,S. Saha,Physics and Astronomy,41,20,1047,,
A5100438883,Qin Li,Computer Science; Physics and Astronomy,151,19,1748,,
A5030943200,A. P. Contogouris,Physics and Astronomy; Engineering,164,19,1256,,
A5101982326,M. A. Whitehead,Physics and Astronomy; Materials Science; Chemistry,84,19,977,,
A5023980552,Shirin A. Enger,Physics and Astronomy; Medicine; Engineering,203,19,1699,,
A5091249889,M. Attarian Shandiz,Engineering; Earth and Planetary Sciences; Physics and Astronomy,31,19,1394,,
A5100437068,Kai Wang,Computer Science; Engineering; Physics and Astronomy,93,19,1493,,
A5009375617,Shulei Li,Engineering; Physics and Astronomy; Materials Science,104,19,1135,,
A5030978459,Srikar Vengallatore,Physics and Astronomy; Engineering,53,19,1400,,
A5051136621,Grażyna Wilczek-Vera,Chemical Engineering; Physics and Astronomy; Engineering,111,19,970,,
A5107521243,Vojkan Jakšić,Physics and Astronomy; Mathematics,61,19,1153,,
A5057537951,Katelin Schutz,Physics and Astronomy,61,19,1549,,
A5108005494,A. J. Chuinard,Physics and Astronomy,25,19,1520,,
A5105781622,D. MacQueen,Physics and Astronomy,26,19,1747,,
A5085128089,Louigi Addario‐Berry,Mathematics; Computer Science; Physics and Astronomy,134,19,1611,,
A5111590823,Vojkan Jakšić,Mathematics; Physics and Astronomy; Computer Science,41,19,1042,,
A5056843075,R. R. Ross,Physics and Astronomy; Engineering,81,18,2006,,
A5101599136,Yunbo Zhang,Environmental Science; Medicine; Physics and Astronomy,85,18,1206,,
A5033448456,J. E. Crawford,Physics and Astronomy; Chemistry,51,18,985,,
A5106289329,L. Gladney,Physics and Astronomy; Engineering,33,18,1411,,
A5107939339,R. Hulsken,Physics and Astronomy,60,18,876,,
A5112077522,F. Buchinger,Physics and Astronomy,37,18,1120,,
A5074604653,James R. Clark,Computer Science; Earth and Planetary Sciences; Physics and Astronomy,63,18,932,,
A5068846727,Adam G. Hendricks,"Biochemistry, Genetics and Molecular Biology; Physics and Astronomy",115,18,1917,,
A5030466704,A. Khan,Physics and Astronomy; Earth and Planetary Sciences,24,18,2148,,
A5036448779,S.M. Collins,Health Professions; Physics and Astronomy; Environmental Science,115,18,1807,,
A5118899220,Zhijun Liang,Physics and Astronomy; Computer Science,267,18,1585,,
A5107893837,T. Kwan,Physics and Astronomy,25,18,1972,,
A5102898998,George Shenouda,Medicine; Physics and Astronomy,70,18,869,,
A5105286327,P. M. Patel,Physics and Astronomy; Engineering,26,18,1607,,
A5065054090,Alexander Josephy,Physics and Astronomy; Engineering; Earth and Planetary Sciences,26,18,3128,,
A5108124979,E. Shirokoff,Physics and Astronomy; Engineering,43,17,1062,,
A5007052935,Bowen Zhao,Environmental Science; Earth and Planetary Sciences; Physics and Astronomy,72,17,1490,,
A5059347671,Émilie Storer,Physics and Astronomy,28,17,1574,,
A5024084717,Kai Zhang,Physics and Astronomy; Engineering; Materials Science,75,17,1027,,
A5054743198,Vahid Kamali,Physics and Astronomy,79,17,763,,
A5053765549,Isabelle Germain,"Biochemistry, Genetics and Molecular Biology; Medicine; Physics and Astronomy",49,17,2384,,
A5110114695,F. A. A. Kingdom,Neuroscience; Physics and Astronomy; Psychology,97,17,1054,,
A5105919494,C. Fontaine,Physics and Astronomy; Engineering,112,17,1139,,
A5118941483,S. H. Robertson,Physics and Astronomy,221,17,3553,,
A5078233705,Marcus J. Couch,Physics and Astronomy; Medicine; Chemistry,61,17,990,,
A5022003316,E. Caden,Physics and Astronomy,64,17,3215,,
A5072704038,Jerome Quintin,Physics and Astronomy,38,17,792,,
A5100910139,B. Chapleau,Physics and Astronomy,18,17,1755,,
A5077549548,Roni Khazaka,Engineering; Physics and Astronomy,131,17,1058,,
A5101827863,Arnab Chakraborty,Chemistry; Engineering; Physics and Astronomy,71,17,894,,
A5106486811,R. A. Keyes,Physics and Astronomy,19,17,1375,,
A5011803117,Kartiek Agarwal,Physics and Astronomy,73,16,1289,,
A5008705003,Lluís Mas-Ribas,Physics and Astronomy,46,16,527,,
A5002765072,Dmitry Jakobson,Mathematics; Physics and Astronomy,89,16,899,,
A5107843709,R. Mantifel,Physics and Astronomy,16,16,1094,,
A5003957484,Cherie K. Day,Physics and Astronomy,47,16,2202,,
A5076933969,Rakesh P. Tiwari,Physics and Astronomy; Materials Science; Computer Science,49,16,896,,
A5063121209,Luhua Xu,Engineering; Physics and Astronomy; Materials Science,49,16,883,,
A5102922159,G. R. Bell,Physics and Astronomy; Engineering; Materials Science,33,16,985,,
A5085790984,Sourabh Paul,Physics and Astronomy; Engineering,33,16,900,,
A5020705715,R. Snihur,Physics and Astronomy,24,16,800,,
A5060150233,Lipei Du,Physics and Astronomy; Computer Science,121,16,1525,,
A5001606007,Dallas Wulf,Physics and Astronomy,66,16,1652,,
A5014445298,Margaret A. Livingstone,Physics and Astronomy; Earth and Planetary Sciences,39,16,1655,,
A5105502099,X. Li,Physics and Astronomy; Computer Science,160,15,1180,,
A5088625410,A Weingartshofer,Physics and Astronomy; Engineering,28,15,930,,
A5075426613,Oleg S. Matusovsky,"Medicine; Biochemistry, Genetics and Molecular Biology; Physics and Astronomy",45,15,560,,
A5107884378,A. Robichaud-Veronneau,Physics and Astronomy,15,15,705,,
A5071959128,Jinsong Zhang,Engineering; Physics and Astronomy,82,15,802,,
A5075205389,Alex S. Baldwin,Neuroscience; Medicine; Physics and Astronomy,84,15,715,,
A5115590505,X. Wu,Physics and Astronomy; Medicine,87,15,825,,
A5110326582,R. A. Keyes,Physics and Astronomy,16,15,1269,,
A5107895637,A. J. Chuinard,Physics and Astronomy,16,15,884,,
A5107007972,R. A. Keyes,Physics and Astronomy,16,15,1162,,
A5105523107,M. Stoebe,Physics and Astronomy,16,15,1926,,
A5030754226,I. Vollrath,Physics and Astronomy,20,15,974,,
A5113720721,C. Wang,Physics and Astronomy; Materials Science,21,15,1922,,
A5111598340,Christian Janicki,Physics and Astronomy; Materials Science; Medicine,48,15,645,,
A5107932156,J. P. Mc Gowan,Physics and Astronomy,49,15,696,,
A5105628846,H. Ni,Physics and Astronomy,21,15,1104,,
A5034306829,A. Tomasch,Physics and Astronomy; Medicine,97,15,1633,,
A5013558086,Erin Goddard,Neuroscience; Psychology; Physics and Astronomy,53,15,611,,
A5001316118,Marcus Merryfield,Physics and Astronomy; Earth and Planetary Sciences; Engineering,21,15,2116,,
A5107940604,R. J. Ward,Physics and Astronomy,54,15,688,,
A5041025379,R A Davies,Physics and Astronomy; Engineering,56,15,900,,
A5001878249,Ling He,Medicine; Physics and Astronomy,57,15,779,,
A5103760053,William L. Hamilton,Computer Science; Physics and Astronomy; Social Sciences,23,15,3488,,
A5026530096,M. Z. M. Khan,Engineering; Physics and Astronomy,114,15,774,,
A5054643544,Étienne Racine,Physics and Astronomy; Medicine; Mathematics,38,15,1420,,
A5010118016,R Le Blanc,Mathematics; Physics and Astronomy; Chemistry,24,15,531,,
A5061159046,Jack B. Kelly,Neuroscience; Nursing; Physics and Astronomy,39,15,735,,
A5043159673,Reihaneh Rabbany,Physics and Astronomy; Social Sciences; Computer Science,130,15,739,,
A5000824634,Amit Kumar,Physics and Astronomy; Engineering,69,15,1219,,
A5105539440,R. A. Keyes,Physics and Astronomy,14,14,1007,,
A5105397780,A. Robichaud-Veronneau,Physics and Astronomy,14,14,1119,,
A5045679921,Erin Gibbons,Physics and Astronomy; Engineering; Materials Science,42,14,898,,
A5003829931,Ram S. Jakhu,Physics and Astronomy; Engineering; Social Sciences,156,14,681,,
A5078076493,Rim Dib,Physics and Astronomy; Earth and Planetary Sciences,45,14,945,,
